10,13.842288881986528,18.0,1.3086087428425655
15,14.686063279483506,19.0,1.3257830819647982
20,16.757788416389793,21.8,1.3356612124002982
25,16.3134184191587,30.2,1.831478725786687
30,15.870731151825817,32.2,2.08475633621896
35,16.02535645789589,36.2,2.24700013518696
40,17.60534277243267,36.4,2.144466273421105
45,15.436620881836962,42.6,2.7912042227939935
50,15.368551966574344,37.2,2.4364808365257153
55,17.092531096147717,62.6,3.672538513822052
60,16.5836354301914,55.6,3.3704630653062333
65,15.80791491851121,58.6,3.7340002195829043
70,16.910801691367148,66.0,3.937008104396708
75,17.580395589885246,70.4,4.038119624204116
80,15.788284393710063,69.8,4.463144617881245
85,17.278004523854822,90.2,5.291871756616513
90,17.91743468039388,84.0,4.709979093323849
95,15.975672142623646,81.2,5.194941502104479
