10,14.799769591000375,27.3,1.8592849916047107
12,14.799769591000375,31.8,2.1789248167223656
14,14.955614997595259,36.3,2.453027580668979
16,15.17540864790657,40.4,2.6742628648754567
18,15.391350768291753,44.8,2.925064005386475
20,15.394512328630736,49.7,3.2417984559275554
22,15.394512328630736,54.1,3.5345073895625445
24,15.541032616724015,58.9,3.8225351786531716
26,16.234431452147234,63.2,3.9444079864921298
28,16.234431452147234,67.7,4.220117529516309
30,16.924953786016992,72.4,4.340266243274587
32,17.058860049609272,78.1,4.637835635466425
34,17.15676200139453,83.4,4.927010261256281
36,17.508473734237107,88.6,5.115558046772561
38,17.508473734237107,94.3,5.450016675834163
40,17.508473734237107,99.0,5.726372942267071
42,17.62902732962879,103.2,5.933502275838255
44,17.964080581408204,110.4,6.22545842701948
46,17.964080581408204,115.1,6.486806159722993
48,18.092099812004154,118.9,6.640219358361522
50,18.092099812004154,123.0,6.872394965551429
52,18.092099812004154,126.8,7.076066609047599
54,18.555787777656175,131.8,7.1886499175365115
56,18.563649451176836,137.2,7.474280482735081
58,18.563649451176836,139.9,7.629240970616548
60,18.563649451176836,143.4,7.818051727459201
62,18.907331002748712,147.6,7.86558663670569
64,18.907331002748712,150.8,8.03757524360024
66,18.907331002748712,154.7,8.235908220227618
68,18.94251455026866,158.2,8.400527640573712
70,18.94251455026866,161.0,8.5555939105753
72,18.94251455026866,165.0,8.760628575603107
74,18.94251455026866,167.1,8.877725033195855
76,18.94251455026866,169.6,9.007756344435514
78,18.94251455026866,173.0,9.180396357050936
80,18.94251455026866,175.0,9.284034157777942
82,18.94251455026866,178.7,9.482555666851159
84,18.94251455026866,182.3,9.669048354310647
86,18.94251455026866,185.1,9.822887998411327
88,18.94251455026866,187.8,9.96633510835613
90,18.94251455026866,190.6,10.10905210318671
92,18.94251455026866,193.9,10.288195414409596
94,18.94251455026866,196.2,10.41393994609475
96,18.94251455026866,200.5,10.639114503202958
98,18.94251455026866,203.9,10.821564456800752
